CollegeName,Courses Available,Contact,Email,Ratings,Address,Link,Pincode,Image
Dr. D. Y. Patil School of Science & Technology,"B. Tech. Computer Science and Design,  B. Tech Artificial Intelligence and Data Science",020 67919400 /44,career.sst@dpu.edu.in,4.5/5,"Survey No 87/88,Mumbai Bangalore Express Highway,Tathawade, Pune-411 033 India.",https://dypsst.dpu.edu.in/,411033,dypsst.jpg
Indira College Of Engineering,"Civil Engineering, Computer Engineering, Mechanical Engineering, B. Tech. Artificial Intelligence and Data Science",7720010705,info@indiraedu.com,4.3/5,"S.No. 64,65, Gat No. 276 At Post : Parandwadi, Near Somatne phata, Tal. : Maval, Dist. Pune – 410 506.",https://indiraicem.ac.in/home,410506,indira.jpg
MIT-WPU,"B.Tech Computer Science and Business System,B.Tech CSE Cyber Security and Forensics,B.Tech ECE Artificial Intelligence,B.Tech Computer Science Engineering, B. Tech. Artificial Intelligence and Data Science",9881492848,admissions@mitwpu.edu.in,4.6/5,"S.No.124, Paud Road, Kothrud, Pune,Maharashtra 411038.",https://mitwpu.edu.in/,411038,mitwpu.jpg
Vishwakarma Institute of Technology(VIT),"B.Tech Computer Engineering,  B Tech Computer Engineering, , BTech Electronics, B. Tech Electronics and Telecommunication Engineering, B. Tech Information Technology",9359207819,director@vit.edu,4.1/5,"666, Upper Indiranagar, Bibwewadi,Pune, Maharashtra, INDIA - 411 037.",https://vit.ac.in/,411037,vit.jpg
College Of Engineering Pune (COEP),"B Tech Computer Engineering, , BTech Electronics and Telecommunication Engineering, B Tech Civil Engineering, B Tech Electrical Engineering,B Tech Mechanical Engineering",20-25507000,director@coep.ac.in,4.2/5,"Wellesely Rd,Shivajinagar,Pune-411 005.Maharashtra",https://www.coep.org.in/,411005,coep.jpg
Dr DY Patil Institute of Technology,"BE Computer Science Engineering, BE Artificial Intelligence and Data Science, BE Electronics and Telecommunication Engineering", 020 27805298,info.engg@dypvp.edu.in ,4.4/5,"Sant Tukaram Nagar,Pimpri, Pune- 411018,Maharashtra, India.",engg.dypvp.edu.in,411018,dyppimpri.jpg
AISSMS College of Engineering,"BE Computer Engineering, BE Electrical Engineering, BE Electronics and Telecommunication Engineering, BE Civil Engineering, BE Chemical Engineering, BE Mechanical Engineering",91 8496 045 045,contact@aissmscoe.com,3.7/5,"1 Kennedy Road,Pune - 411 001,Maharashtra (INDIA)",aissmscoe.com,411011,aissms.jpg
Pune Institute of Computer Technology(PICT),"BE Computer Engineering, BE Electronics and Telecommunication Engineering, BE  Information Technology",+91 20 24371101,registrar@pict.edu,3.6/5,"Survey No. 27, Near Trimurti Chowk, Dhankwadi, Pune - 411043",https://pict.edu/,411043,pict.jpg
MKSSS's Cummins College ,"B Tech Computer Engineering, , BTech Electronics and Telecommunication Engineering, B Tech Information Technology Engineering, B Tech Instrumation and control Engineering,B Tech Mechanical Engineering",020- 25311000,administrator@cumminscollege.in,4.1/5,"Karve Nagar, Pune, Maharashtra 411052",https://www.cumminscollege.org/,411052,cummins.jpg
Pimpri Chinchwad College of Engineering(PCCOE),"BE Computer Engineering, , BE Electronics and Telecommunication Engineering, BE Information Technology Engineering, BE Artificial Intelligence and Machine Learning Engineering, BE Mechanical Engineering",91 - 9960984347,pccoeadmin@gmail.com,4.4/5,"Sector 26, Pradhikaran, Nigdi, Pune, 411044,   (Near Akurdi Railway Station)",http://www.pccoepune.com/,411044,pccoe.jpg
Modern College of Engineering,"B Tech Computer Engineering, , BTech Electronics and Telecommunication Engineering, B Tech Civil Engineering, B Tech Electrical Engineering,B Tech Mechanical Engineering, B. Tech. Artificial Intelligence and Data Science",020 25533638,pesmcoe@moderncoe.edu.in,3.9/5,"1186/A, Off J.M. Road, Shivajinagar, Pune, Maharashtra Pin- 411005.",https://moderncoe.edu.in/,411005,mcoe.jpg
